test_run,topic_category,topic_specific,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,1,"A song is a musical composition with vocals, often expressing emotions or telling a story.",15,YES,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,2,"Songs can be performed by various artists and come in numerous genres like pop, rock, and jazz.",17,YES,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,3,"They are typically structured with verses, choruses, and sometimes a bridge.",11,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,4,"Songs can be instrumental, focusing solely on music without lyrics.",10,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,5,Many songs are written by songwriters and composers collaborating together.,10,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,6,Songs can be recorded in studios and produced for distribution on albums or singles.,14,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,7,"They are a popular form of entertainment and can be played on radios, streaming platforms, and live concerts.",18,YES,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,8,Songs often have a tempo and rhythm that can influence mood and dance.,13,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",informed,9,"They can serve as anthems for movements, expressing collective emotions and experiences.",12,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",misinformed,1,It's a form of expression that uses words but doesn't necessarily involve music.,13,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",misinformed,2,"It can be enjoyed in silence, through reading rather than listening.",11,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",fake,1,It's a visual art form that tells stories without sound.,10,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",fake,2,It's a written form of storytelling that doesn't involve music.,10,NO,
2,Song,Bohemian Rhapsody - Queen,1,song,"poem, movie, song",extra,1,"It combines melody and lyrics to convey messages, emotions, or narratives.",11,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,1,"This song combines multiple music genres, including rock, opera, and ballad elements.",12,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,2,It features a iconic music video that was groundbreaking for its time.,12,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,3,"The song's composition is complex, with operatic vocals and a heavy rock section.",13,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,4,It was written by the lead vocalist of the band and released in the mid-70s.,15,YES,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,5,The song's lyrics are somewhat abstract and open to interpretation.,10,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,6,It's known for its operatic section with layered vocal harmonies.,10,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,7,The song has been covered by numerous artists and remains a classic rock staple.,14,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,8,"It's one of the band's most popular and enduring songs, often played in concerts.",14,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",informed,9,"The song's structure is unconventional, blending different musical styles seamlessly.",10,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",misinformed,1,It's a song about a person struggling with identity and societal expectations.,12,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",misinformed,2,It's known for its simplistic melody and straightforward lyrics.,9,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",fake,1,It's a song about a person's journey through different countries and cultures.,12,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",fake,2,It's a song with a consistent tempo and traditional rock structure.,11,NO,
2,Song,Bohemian Rhapsody - Queen,2,Bohemian Rhapsody - Queen,"Stairway to Heaven - Led Zeppelin, Bohemian Rhapsody - Queen, Imagine - John Lennon",extra,1,The song's title reflects its eclectic mix of musical styles and themes.,12,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,1,"A medium that holds stories, knowledge, and ideas, often bound together in pages.",13,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,2,"It can be a source of entertainment, education, or escape from reality.",12,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,3,"Commonly found in libraries, schools, and personal collections.",8,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,4,"Can be read silently or aloud, depending on the context.",10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,5,"Often features chapters, paragraphs, and sometimes illustrations.",7,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,6,"It can be a hardcover or paperback, varying in size and weight.",12,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,7,"Some are bestsellers, while others are classics or niche topics.",10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,8,"Used for learning new skills, exploring fictional worlds, or historical events.",11,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",informed,9,"Digital versions exist, but many prefer the tactile experience.",9,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",misinformed,1,"It’s something you might find in a theater, capturing stories on a big screen.",14,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",misinformed,2,It’s a type of furniture where people often sit to work or relax.,13,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",fake,1,It’s a type of vehicle used for transportation.,8,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",fake,2,It’s a type of food served at parties.,8,NO,
3,Book,Harry Potter and the Sorcerer's Stone,1,Book,"Book, Movie, Furniture",extra,1,It allows the reader to explore different perspectives and worlds.,10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,1,"A young boy discovers a hidden world of magic, attending a school for wizards.",14,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,2,Features a magical train that transports students to their school.,10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,3,A sport played on broomsticks is central to the story.,10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,4,A wise mentor guides the protagonist through his journey.,9,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,5,A powerful object is the focal point of the story's conflict.,11,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,6,The protagonist has a lightning-shaped scar on his forehead.,9,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,7,Friendship and loyalty are key themes throughout the story.,9,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,8,The story begins with the protagonist living with unwelcoming relatives.,10,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",informed,9,A three-headed dog guards an important location.,7,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",misinformed,1,It’s about a girl who falls down a rabbit hole into a strange land.,14,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",misinformed,2,It’s set in a future where children fight for survival in games.,12,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",fake,1,It’s about a hobbit on a quest to destroy a powerful ring.,12,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",fake,2,It’s set in a dystopian future with a deadly game arena.,11,NO,
3,Book,Harry Potter and the Sorcerer's Stone,2,Harry Potter and the Sorcerer's Stone,"Harry Potter and the Sorcerer's Stone, The Lord of the Rings, The Hunger Games",extra,1,The story introduces magical creatures and spells as part of daily life.,12,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,1,"A series of episodes that tell a continuous or episodic story, often featuring recurring characters.",15,YES,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,2,Produced to be broadcast on television networks or streaming platforms.,10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,3,"Typically ranges from 20 to 60 minutes per episode, depending on the genre.",13,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,4,"Can be a comedy, drama, reality, or documentary style of entertainment.",11,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,5,Usually includes opening and closing credits with a theme song.,10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,6,May have a finite number of episodes or be ongoing for many seasons.,13,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,7,"Often features a mix of dialogue, music, and visual storytelling.",10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,8,Can be watched live or recorded for later viewing.,9,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",informed,9,May include commercial breaks or be ad-free on premium platforms.,10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",misinformed,1,"It’s something you might find on a shelf in a store, often in a box with multiple parts.",18,YES,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",misinformed,2,It can be held in your hand and is often read silently.,12,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",fake,1,It’s something you can find in a theater or cinema.,10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",fake,2,It’s typically read silently and can take hours to finish.,10,NO,
4,TV Show,Breaking Bad,1,TV Show,"book, movie, TV show",extra,1,"It’s designed to be consumed in segments, with each part building on the previous one.",15,YES,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,1,A high school chemistry teacher turns to a life of crime in this series.,14,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,2,The main character undergoes a significant transformation from meek to powerful.,11,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,3,"The series explores themes of morality, power, and consequences.",9,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,4,A supporting character is a corrupt but charismatic lawyer.,9,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,5,"The story is set in Albuquerque, New Mexico.",8,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,6,The show features a unique use of color symbolism throughout.,10,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,7,A pivotal character operates a car wash as a front for illegal activities.,13,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,8,The series includes a dramatic and intense scene in a desert location.,12,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",informed,9,The main character’s partner in crime is a former student turned meth cook.,13,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",misinformed,1,It’s about a man who becomes a successful tech entrepreneur in Silicon Valley.,13,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",misinformed,2,The story centers around a family-owned bakery that becomes a front for illegal activities.,14,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",fake,1,The main character is a detective solving crimes in a big city.,12,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",fake,2,It’s a comedy about a group of friends working at a paper company.,13,NO,
4,TV Show,Breaking Bad,2,Breaking Bad,"The Office, Breaking Bad, Narcos",extra,1,The series is known for its intense character development and moral ambiguity.,12,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,1,A form of interactive entertainment where players make decisions that affect outcomes.,12,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,2,"Often features quests, levels, and challenges designed to test skill or strategy.",12,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,3,"Can be experienced on various platforms, from consoles to mobile devices.",11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,4,"Involves a wide range of genres, such as action, adventure, puzzle, and simulation.",13,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,5,Players typically control a character or object within a virtual environment.,11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,6,"The experience often includes a narrative, whether linear or branching.",10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,7,It allows for creativity through sandbox modes or customizable options.,10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,8,Multiplayer versions enable competition or cooperation with others online or locally.,11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",informed,9,"Art styles vary greatly, from realistic to cartoonish or stylized visuals.",11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",misinformed,1,It’s something you might do while sitting on your couch with friends.,12,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",misinformed,2,Involves moving pieces on a board according to specific rules.,10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",fake,1,It’s a physical activity performed outdoors.,6,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",fake,2,It’s a type of book that only contains images.,9,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,1,Video Game,"Video Game, Board Game, Movie",extra,1,"It combines storytelling, visuals, and sound to immerse the participant.",10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,1,Features a vast open world where players can explore freely in any direction.,13,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,2,Incorporates dynamic weather and a day-night cycle that affects gameplay.,10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,3,The game emphasizes experimentation and creative problem-solving.,7,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,4,"Players can manipulate the environment, such as cutting trees or moving boulders.",12,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,5,The main character starts with minimal resources and gradually gains abilities.,11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,6,A key mechanic involves understanding and utilizing the physics engine.,10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,7,The story is revealed through environmental clues rather than direct exposition.,11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,8,The world is filled with ancient technology and mysterious ruins.,10,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",informed,9,Climbing and gliding are core traversal mechanics.,7,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",misinformed,1,It’s set in a world where time is broken into distinct eras or ages.,14,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",misinformed,2,The protagonist is on a quest to rebuild a lost civilization.,11,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",fake,1,The game is set entirely in a futuristic city with no natural environments.,13,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",fake,2,"The story is linear, with no option to deviate from the set path.",13,NO,
5,Video Game,The Legend of Zelda: Breath of the Wild,2,The Legend of Zelda: Breath of the Wild,"The Legend of Zelda: Breath of the Wild, The Witcher 3: Wild Hunt, Horizon Zero Dawn",extra,1,The game introduces a unique weapon degradation system that affects strategy.,11,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,1,It is often served hot and can be either savory or sweet.,12,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,2,It is a common source of comfort and nostalgia for many people.,12,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,3,"It can be prepared in countless ways, from grilling to boiling.",11,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,4,It is a staple in every culture around the world.,10,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,5,It can be eaten as a main course or as a side dish.,13,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,6,It is often associated with holidays and special occasions.,9,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,7,It can be very spicy or completely bland.,8,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,8,It is a key part of many social gatherings and celebrations.,11,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",informed,9,"It can be eaten with a fork, spoon, or even with the hands.",13,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",misinformed,1,It is something that can be worn on special occasions.,10,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",misinformed,2,It is often used to decorate homes during holidays.,9,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",fake,1,It is something that can be used to clean the house.,11,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",fake,2,It is something that can be used for entertainment.,9,NO,
6,Food,Pizza Margherita,1,food,"main dish, appetizer, dessert",extra,1,It is something that can be grown in a garden or bought at a store.,15,YES,
6,Food,Pizza Margherita,2,Pizza Margherita,"Pizza Margherita, Spaghetti Carbonara, Tacos",informed,1,It is a dish that originated in Italy and is named after a queen.,14,NO,
